Iteration, CellID, InitialMol, FinalMol, InitialTemperature, FinalTemperature
92, 3, 490.561, 495.4962, 498.4769, 488.5074
92, 4, 490.561, 495.4962, 485.0872, 475.3855
93, 1, 513.5105, 500.2406, 534.112, 520.8115
93, 2, 495.4962, 499.9196, 516.9034, 506.5654
93, 3, 495.4962, 499.9196, 502.9995, 492.9395
93, 4, 495.4962, 499.9196, 489.4731, 479.6837
94, 1, 500.2406, 488.3472, 520.8115, 508.8383
94, 2, 499.9196, 503.884, 521.1024, 510.6804
94, 3, 499.9196, 503.884, 507.0708, 496.9294
94, 4, 499.9196, 503.884, 493.4205, 483.5521
95, 1, 488.3472, 541.2283, 508.8383, 561.6093
95, 2, 503.884, 486.257, 520.8571, 492.5404
95, 3, 503.884, 486.257, 506.9026, 479.3445
95, 4, 503.884, 486.257, 493.3259, 466.5059
96, 1, 541.2283, 525.0831, 561.6093, 545.5647
96, 2, 486.257, 491.6387, 508.2162, 498.0518
96, 3, 486.257, 491.6387, 494.5827, 484.6911
96, 4, 486.257, 491.6387, 481.3188, 471.6924
97, 1, 525.0831, 510.6126, 545.5647, 531.1212
97, 2, 491.6387, 496.4622, 513.2798, 503.0142
97, 3, 491.6387, 496.4622, 499.494, 489.5041
97, 4, 491.6387, 496.4622, 486.0821, 476.3605
98, 1, 510.6126, 497.6432, 531.1212, 518.1192
98, 2, 496.4622, 500.7853, 517.839, 507.4822
98, 3, 496.4622, 500.7853, 503.9151, 493.8368
98, 4, 496.4622, 500.7853, 490.3692, 480.5619
99, 1, 497.6432, 549.4612, 518.1192, 569.8696
99, 2, 500.7853, 483.5127, 517.8446, 489.6917
99, 3, 500.7853, 483.5127, 503.9919, 476.592
99, 4, 500.7853, 483.5127, 490.5139, 463.8468
100, 1, 549.4612, 532.4619, 569.8696, 553.0007
100, 2, 483.5127, 489.1791, 505.598, 495.486
100, 3, 483.5127, 489.1791, 492.0544, 482.2133
100, 4, 483.5127, 489.1791, 478.8776, 469.3
101, 1, 532.4619, 517.226, 553.0007, 537.8152
101, 2, 489.1791, 494.2578, 510.9215, 500.7031
101, 3, 489.1791, 494.2578, 497.218, 487.2736
101, 4, 489.1791, 494.2578, 483.8859, 474.2082
102, 1, 517.226, 503.5706, 537.8152, 524.1452
102, 2, 494.2578, 498.8095, 515.7147, 505.4004
102, 3, 494.2578, 498.8095, 501.8662, 491.8289
102, 4, 494.2578, 498.8095, 488.3935, 478.6256
103, 1, 503.5706, 491.3319, 524.1452, 511.8393
103, 2, 498.8095, 502.8892, 520.0305, 509.6299
103, 3, 498.8095, 502.8892, 506.0506, 495.9296
103, 4, 498.8095, 502.8892, 492.4503, 482.6013
104, 1, 491.3319, 543.8716, 511.8393, 564.2803
104, 2, 502.8892, 485.3759, 519.8667, 491.6038
104, 3, 502.8892, 485.3759, 505.9617, 478.4547
104, 4, 502.8892, 485.3759, 492.4327, 465.6613
105, 1, 543.8716, 527.4521, 564.2803, 547.9692
105, 2, 485.3759, 490.8491, 507.3542, 497.2071
105, 3, 485.3759, 490.8491, 493.7654, 483.8901
105, 4, 485.3759, 490.8491, 480.5447, 470.9338
106, 1, 527.4521, 512.736, 547.9692, 533.2859
106, 2, 490.8491, 495.7545, 512.5021, 502.2521
106, 3, 490.8491, 495.7545, 498.7583, 488.7831
106, 4, 490.8491, 495.7545, 485.3869, 475.6792
107, 1, 512.736, 499.5464, 533.2859, 520.0678
107, 2, 495.7545, 500.151, 517.1373, 506.7946
107, 3, 495.7545, 500.151, 503.2528, 493.1878
107, 4, 495.7545, 500.151, 489.745, 479.9501
108, 1, 499.5464, 551.1467, 520.0678, 571.6038
108, 2, 500.151, 482.9509, 517.1959, 489.0782
108, 3, 500.151, 482.9509, 503.3811, 476.0145
108, 4, 500.151, 482.9509, 489.9396, 463.3037
109, 1, 551.1467, 533.9725, 571.6038, 554.5619
109, 2, 482.9509, 488.6757, 505.033, 494.9323
109, 3, 482.9509, 488.6757, 491.5239, 481.6934
109, 4, 482.9509, 488.6757, 478.3802, 468.8127
110, 1, 533.9725, 518.5799, 554.5619, 539.2207
110, 2, 488.6757, 493.8065, 510.4114, 500.2032
110, 3, 488.6757, 493.8065, 496.7404, 486.8056
110, 4, 488.6757, 493.8065, 483.4397, 473.7709
111, 1, 518.5799, 504.7841, 539.2207, 525.4104
111, 2, 493.8065, 498.4052, 515.254, 504.9489
111, 3, 493.8065, 498.4052, 501.4364, 491.4077
111, 4, 493.8065, 498.4052, 487.9933, 478.2334
112, 1, 504.7841, 492.4194, 525.4104, 512.9783
112, 2, 498.4052, 502.5267, 519.6143, 509.222
112, 3, 498.4052, 502.5267, 505.6637, 495.5504
112, 4, 498.4052, 502.5267, 492.0915, 482.2497
113, 1, 492.4194, 544.8348, 512.9783, 565.294
113, 2, 502.5267, 485.0549, 519.4816, 491.2397
113, 3, 502.5267, 485.0549, 505.6048, 478.1173
113, 4, 502.5267, 485.0549, 492.103, 465.3495
114, 1, 544.8348, 528.3154, 565.294, 548.8817
114, 2, 485.0549, 490.5614, 507.0183, 496.8779
114, 3, 485.0549, 490.5614, 493.4555, 483.5864
114, 4, 485.0549, 490.5614, 480.2596, 470.6544
115, 1, 528.3154, 513.5097, 548.8817, 534.1074
115, 2, 490.5614, 495.4966, 512.1984, 501.9545
115, 3, 490.5614, 495.4966, 498.4792, 488.5097
115, 4, 490.5614, 495.4966, 485.1316, 475.429
116, 1, 513.5097, 500.2399, 534.1074, 520.8073
116, 2, 495.4966, 499.9199, 516.8626, 506.5254
116, 3, 495.4966, 499.9199, 503.0017, 492.9417
116, 4, 495.4966, 499.9199, 489.5165, 479.7261
117, 1, 500.2399, 488.3466, 520.8073, 508.8345
117, 2, 499.9199, 503.8843, 521.0623, 510.641
117, 3, 499.9199, 503.8843, 507.0728, 496.9313
117, 4, 499.9199, 503.8843, 493.4629, 483.5936
118, 1, 488.3466, 541.2278, 508.8345, 561.606
118, 2, 503.8843, 486.2573, 520.8177, 492.5031
118, 3, 503.8843, 486.2573, 506.9045, 479.3463
118, 4, 503.8843, 486.2573, 493.3673, 466.545
119, 1, 541.2278, 525.0826, 561.606, 545.5617
119, 2, 486.2573, 491.639, 508.1788, 498.0152
119, 3, 486.2573, 491.639, 494.5844, 484.6927
119, 4, 486.2573, 491.639, 481.3578, 471.7307
120, 1, 525.0826, 510.6122, 545.5617, 531.1187
120, 2, 491.639, 496.4625, 513.2431, 502.9782
120, 3, 491.639, 496.4625, 499.4955, 489.5056
120, 4, 491.639, 496.4625, 486.1203, 476.3979
121, 1, 510.6122, 497.643, 531.1187, 518.1168
121, 2, 496.4625, 500.7855, 517.803, 507.4469
121, 3, 496.4625, 500.7855, 503.9166, 493.8382
